company_name,abn,acn,registered_address,state,postcode,industry_search_term,industry_description,anzsic_code,entity_type,abn_status,gst_status,employee_count_range,source_url
THE Mining Pty Ltd,50110423580,,"NT, 0820",NT,0820,mining,Mining,B,Entity Name (Company),Active,Registered from 09 Aug 2004,,https://abr.business.gov.au/ABN/View?abn=50110423580
ATF MINING ELECTRICS PTY LIMITED,91001175435,,"NSW, 2322",NSW,2322,mining,Mining,B,Entity Name (Company),Active,Registered from 01 Jul 2000,,https://abr.business.gov.au/ABN/View?abn=91001175435
CONSTRUCTION CO PTY LIMITED,59102103220,,"NSW, 2154",NSW,2154,construction,Construction,E,Entity Name (Company),Active,Not currently registered for GST,,https://abr.business.gov.au/ABN/View?abn=59102103220
CONSTRUCTION CORP. PTY. LIMITED,55122521331,,"NSW, 2029",NSW,2029,construction,Construction,E,Entity Name (Company),Active,Registered from 01 Jul 2020,,https://abr.business.gov.au/ABN/View?abn=55122521331
#TRANSPORT PTY LTD,31612941938,,"NSW, 2217",NSW,2217,transport,"Transport, Postal & Warehousing",I,Entity Name (Company),Active,Registered from 10 Jun 2016,,https://abr.business.gov.au/ABN/View?abn=31612941938
AKA TRANSPORT PTY LTD,73636580357,,"NSW, 2220",NSW,2220,transport,"Transport, Postal & Warehousing",I,Entity Name (Company),Active,Registered from 02 Oct 2019,,https://abr.business.gov.au/ABN/View?abn=73636580357
DRS MEDICAL PTY LTD,56606235607,,"QLD, 4154",QLD,4154,healthcare,Health Care & Social Assistance,Q,Entity Name (Company),Active,Registered from 01 Jul 2015,,https://abr.business.gov.au/ABN/View?abn=56606235607
MEDICAL HOLDINGS PTY LIMITED,12142456960,,"NSW, 2176",NSW,2176,healthcare,Health Care & Social Assistance,Q,Entity Name (Company),Active,Not currently registered for GST,,https://abr.business.gov.au/ABN/View?abn=12142456960
#CONSULTING PTY LTD,47618413933,,"NSW, 2000",NSW,2000,professional_services,"Professional, Scientific & Technical Services",M,Entity Name (Company),Active,Registered from 11 Apr 2017,,https://abr.business.gov.au/ABN/View?abn=47618413933
CONSULTING.COMPANY PTY. LIMITED,37648227132,,"NSW, 2011",NSW,2011,professional_services,"Professional, Scientific & Technical Services",M,Entity Name (Company),Active,Not currently registered for GST,,https://abr.business.gov.au/ABN/View?abn=37648227132
